Parent Account Number,Parent Account Name,Account Number,Account Name,Customer Own Reference,Card Group,Card Number,Card Type Description,Card Purchase Category,Vehicle Type,Card Driver Name,Card  VRN,Card Additional Data,Invoice Date,Invoice number,Invoice Reference ID,Voucher number,Authorisation Code,Transaction Date,Posted Date,Transaction VRN,Odometer,Transaction Type,Product Description,Quantity,Unit Price (for fuel this would be PPL),Net Value,VAT Value,VAT Rate %,VAT Type,Gross Value,Network,Site Number,Site Name,Site Address,Site City,Site Region,Site Post Code,Site Phone Number,Country,Site Type,Purchase Description,Tank Size,Group code
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,06/06/2023 07:28,E2016594471,29066058,15999,134564,25/06/2023 17:03,25/06/2023 17:03,IN79DM,63473,Fuel,Diesel,40.22,1.67703,56.21,11.24,20,UK Standard Rate,67.45,BP,9970975,MUNRO'S CORNER S/STN,WATERY LANE NEWBURY ROAD,ANDOVER ,HAMPSHIRE,SP10 1DS,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,12/06/2023 16:17,E2016594471,29066058,839166,925344,25/06/2023 07:56,25/06/2023 07:56,IN40DM,0,Fuel,Diesel,75.71,1.64694,103.91,20.78,20,UK Standard Rate,124.69,JET,11703651,BRIDGEND FILLING STATION,STATION ROAD,BEAULY,INVERNESS-SHIRE,IV4 7EH,01463 782768,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,23/06/2023 10:59,E2016594471,29066058,23123,289790,26/06/2023 16:10,26/06/2023 16:10,IN73DM,100,Fuel,Diesel,56.66,1.73685,82.01,16.4,20,UK Standard Rate,98.41,BP,9971085,WESTACRE SERVICES,108 WILTON ROAD ,SALISBURY,WILTSHIRE,SP2 7JJ,01722 415482,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Naomi Ansel,APP1 EMV,DIESEL & OIL,,,IN91DM,,17/06/2023 06:52,E2016594471,29066058,17202,199724,26/06/2023 08:38,26/06/2023 08:38,IN91DM,8730,Fuel,Diesel,51.67,1.67699,72.21,14.44,20,UK Standard Rate,86.65,BP,2089984,PERTH SERVICES SF CONNECT,THE TRIANGLE,PERTH,PERTHSHIRE,PH1 3GA,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,06/06/2023 07:01,E2016594471,29066058,0,,26/06/2023 17:16,26/06/2023 17:16,IN02DM,1,Fuel,Unleaded,5.01,1.44711,6.04,1.21,20,UK Standard Rate,7.25,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,28/06/2023 08:13,E2016594471,29066058,800610,613161,29/06/2023 17:00,29/06/2023 17:00,IN73DM,100,Fuel,Diesel Premium,57.54,1.69691,81.37,16.27,20,UK Standard Rate,97.64,TESCO,75199833,TESCO BASINGSTOKE OPT,DIST SHOPPING CENTRE CHINEHAM,BASINGSTOKE,HAMPSHIRE,RG24 8BE,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Naomi Ansel,APP1 EMV,DIESEL & OIL,,,IN91DM,,13/06/2023 06:47,E2016594471,29066058,885691,919102,31/06/2023  14:38,31/06/2023  16:16:00,IN91DM,8671,Fuel,Diesel,51.54,1.70683,73.31,14.66,20,UK Standard Rate,87.97,SHELL,11702858,ORCHARDBANK S/STN,SILVIE WAY ORCHARDBANK BUSINESS PARK,FORFAR,ANGUS,DD8 1BF,01307 724884,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Naomi Ansel,APP1 EMV,DIESEL & OIL,,,IN91DM,,20/06/2023 14:01,E2016594471,29066058,828422,521221,28/06/2023 12:14,28/06/2023 12:14,IN91DM,8359,Fuel,Diesel,82.66,1.76688,121.71,24.34,20,UK Standard Rate,146.05,SHELL,56001650,SHELL BALHALDIE ,A9 SOUTHBOUND DUNBLANE,STIRLING,STIRLINGSHIRE,FK15 0NB,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,05/06/2023 09:36,E2016594471,29066058,831605,818281,31/06/2023  14:38,31/06/2023  07:50:00,IN40DM,2,Fuel,Diesel,36.01,1.64676,49.42,9.88,20,UK Standard Rate,59.3,JET,11703651,BRIDGEND FILLING STATION,STATION ROAD,BEAULY,INVERNESS-SHIRE,IV4 7EH,01463 782768,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,18/06/2023 07:24,E2016618615,29094895,832015,999139,06/06/2023 09:06,06/06/2023 09:06,IN40DM,12,Fuel,Diesel,36.62,1.65674,50.56,10.11,20,UK Standard Rate,60.67,JET,11703651,BRIDGEND FILLING STATION,STATION ROAD,BEAULY,INVERNESS-SHIRE,IV4 7EH,01463 782768,United Kingdom,FUEL,,30,brighton-one
