Parent Account Number,cardName,driverName,Parent Account Name,Account Number,Account Name,Card Number,Card Type Description,Card  VRN,Transaction Date,Transaction VRN,vin,group code,Odometer,Transaction Type,Product Description,Quantity,Unit Price (for fuel this would be PPL),Net Value,VAT Value,VAT Rate %,VAT Type,Gross Value,Site Number,Site Name,Country,supplier code,brand,o2Code
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,123,DIESEL RETAIL,WH08LJL,16/07/2023,WH08LJL,WAUAF48H37K615934,brighton,10000,Fuel,petrol,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,dhl,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,1515,DIESEL RETAIL,GT64NHN,16/07/2023,GT64NHN,3D7TP2CT1BG694891,london,10000,Fuel,diesel,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,turners,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,111111,DIESEL RETAIL,OX48UPO,16/07/2023,OX48UPO,WBA3N5C53FK304808,southampton,10000,Fuel,petrol,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,wincanton,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,3241234,DIESEL RETAIL,JY94sASB,16/07/2023,JY94sASB,WVGFG9BP8CD319613,manchester,10000,Fuel,petrol,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,hoyer,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,1234,CARD,PS20UTM,16/07/2023,PS20UTM,WAUKH78E36A335831,brighton,10000,Fuel,diesel,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,dhl,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,125,CARD,WH00LJX,16/07/2023,WH00LJX,SAJWA4DB1DL604141,london,10000,Fuel,petrol,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,dhl,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,61236,CARD,MH34sCUJ,16/07/2023,MH34sCUJ,WUADUAFG6CN816513,southampton,10000,Fuel,diesel,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,wincanton,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,123641,CARD,RM00sAND,16/07/2023,RM00sAND,1G4PP5SKXD4601416,manchester,10000,Fuel,petrol-premium,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,hoyer,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,614,CARD,NO44sCLW,16/07/2023,NO44sCLW,4T1BF1FK4EU200557,brighton,10000,Fuel,diesel,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,dhl,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,1346,CARD,LU08sRCA,16/07/2023,LU08sRCA,WAUEF98E98A214934,london,10000,Fuel,petrol,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,turners,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,17134,CARD,NL71PDN,16/07/2023,NL71PDN,WAUJC58E85A107238,southampton,10000,Fuel,diesel-premium,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,wincanton,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,3142617,CARD,SL21CDU,16/07/2023,SL21CDU,WDCYC3HF9EX011463,manchester,10000,Fuel,petrol-premium,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,hoyer,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,13774534,CARD,OG56sMWV,16/07/2023,OG56sMWV,1N6BF0KM3FN977178,brighton,10000,Fuel,diesel-premium,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,dhl,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,77542,CARD,XY28TPJ,16/07/2023,XY28TPJ,JA32U1FU2DU860542,london,10000,Fuel,petrol,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,turners,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,75327,CARD,WK71sNEJ,16/07/2023,WK71sNEJ,19XFB4F24DE562419,southampton,10000,Fuel,diesel-premium,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,dhl,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,54534,CARD,TW28sAKW,16/07/2023,TW28sAKW,3G5DA03E34S989522,manchester,10000,Fuel,petrol-premium,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,hoyer,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,5454,CARD,AO43sDSO,16/07/2023,AO43sDSO,WAULC68E95A635238,brighton,10000,Fuel,diesel-premium,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,dhl,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,7272,CARD,XF47sPKE,16/07/2023,XF47sPKE,2T1KU4EEXCC238165,london,10000,Fuel,petrol,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,turners,shell,bn4
420567,tdsCardName,JamesT,TDS Account Name,420567,TDS Account Name,7272,CARD,XF47sPKE,16/07/2023,XF47sPKE,2T1KU4EEXCC238165,london,10000,washing,washing,30,15,100,20,20,12,100,12894,TDS ULTRA,uk,turners,shell,bn4
